dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
amd,opcode,DT,9,0.9627,0.9505,0.9566,0.9511,0.9632,0.9571
amd,opcode,RF,9,0.9799,0.9088,0.9430,0.9149,0.9813,0.9470
amd,opcode,SVM,9,0.9708,0.9912,0.9809,0.9910,0.9702,0.9805
drebin,api,DT,0,,,,,,
drebin,api,RF,0,0.9310,0.8512,0.8893,0.8630,0.9369,0.8984
drebin,api,SVM,0,0.9273,0.9483,0.9377,0.9471,0.9256,0.9362
drebin,api,DT,1,,,,,,
drebin,api,RF,1,0.9331,0.8272,0.8770,0.8448,0.9407,0.8902
drebin,api,SVM,1,0.9336,0.9395,0.9365,0.9391,0.9332,0.9361
drebin,api,DT,2,,,,,,
drebin,api,RF,2,0.9395,0.8613,0.8987,0.8719,0.9445,0.9068
drebin,api,SVM,2,0.9155,0.9433,0.9292,0.9415,0.9130,0.9270
drebin,api,DT,3,,,,,,
drebin,api,RF,3,0.9256,0.8474,0.8848,0.8593,0.9319,0.8941
drebin,api,SVM,3,0.9259,0.9458,0.9357,0.9446,0.9243,0.9344
drebin,api,DT,4,,,,,,
drebin,api,RF,4,0.9442,0.8537,0.8967,0.8665,0.9496,0.9061
drebin,api,SVM,4,0.9419,0.9407,0.9413,0.9408,0.9420,0.9414
drebin,api,DT,5,,,,,,
drebin,api,RF,5,0.9200,0.8701,0.8944,0.8768,0.9243,0.8999
drebin,api,SVM,5,0.9230,0.9521,0.9373,0.9505,0.9206,0.9353
drebin,api,DT,6,,,,,,
drebin,api,RF,6,0.9475,0.8651,0.9044,0.8759,0.9521,0.9124
drebin,api,SVM,6,0.9319,0.9496,0.9407,0.9486,0.9306,0.9395
drebin,api,DT,70y,,,,,,
drebin,api,RF,70y,0.9049,0.9004,0.9027,0.9009,0.9054,0.9031
drebin,api,SVM,70y,0.9189,0.9571,0.9376,0.9553,0.9155,0.9350
drebin,api,DT,7,,,,,,
drebin,api,RF,7,0.9291,0.8424,0.8836,0.8558,0.9357,0.8940
drebin,api,SVM,7,0.9275,0.9521,0.9396,0.9508,0.9256,0.9380
drebin,api,DT,8,,,,,,
drebin,api,RF,8,0.9470,0.8562,0.8993,0.8688,0.9521,0.9085
drebin,api,SVM,8,0.9240,0.9508,0.9372,0.9494,0.9218,0.9354
drebin,api,DT,9,,,,,,
drebin,api,RF,9,0.9440,0.8499,0.8945,0.8635,0.9496,0.9045
drebin,api,SVM,9,0.9252,0.9521,0.9385,0.9506,0.9231,0.9367
drebin,dex,DT,0,,,,,,
drebin,dex,RF,0,0.9563,0.8622,0.9069,0.8746,0.9606,0.9156
drebin,dex,SVM,0,0.9394,0.9447,0.9421,0.9444,0.9391,0.9417
drebin,dex,DT,1,,,,,,
drebin,dex,RF,1,0.9542,0.8782,0.9146,0.8872,0.9578,0.9211
drebin,dex,SVM,1,0.9506,0.9550,0.9528,0.9548,0.9503,0.9526
drebin,dex,DT,2,,,,,,
drebin,dex,RF,2,0.9567,0.8707,0.9117,0.8813,0.9606,0.9193
